Declaration_Number,Declaration_Type,Declaration_Date,State,Disaster_Type
DR-1886,Disaster,09/03/2010,SD,Storm
DR-1885,Disaster,09/03/2010,KS,Storm
DR-1887,Disaster,10/03/2010,SD,Storm
EM-3309,Emergency,14/03/2010,ND,Flood
DR-1888,Disaster,18/03/2010,AZ,Storm
EM-3310,Emergency,19/03/2010,MN,Flood
DR-1889,Disaster,23/03/2010,NJ,Snow
DR-1890,Disaster,24/03/2010,DC,Storm
DR-1891,Disaster,25/03/2010,ME,Storm
DR-1895,Disaster,29/03/2010,MA,Storm
DR-1894,Disaster,29/03/2010,RI,Storm
DR-1892,Disaster,29/03/2010,NH,Storm
DR-1893,Disaster,29/03/2010,WV,Storm
EM-3311,Emergency,30/03/2010,RI,Storm
DR-1896,Disaster,31/03/2010,DE,Snow
DR-1897,Disaster,02/04/2010,NJ,Storm
DR-1899,Disaster,16/04/2010,NY,Storm
DR-1898,Disaster,16/04/2010,PA,Snow
DR-1900,Disaster,19/04/2010,MN,Flood
DR-1902,Disaster,21/04/2010,NE,Flood
DR-1901,Disaster,21/04/2010,ND,Storm
DR-1904,Disaster,23/04/2010,CT,Storm
DR-1903,Disaster,23/04/2010,WV,Snow
DR-1905,Disaster,27/04/2010,VA,Snow
DR-1906,Disaster,29/04/2010,MS,Storm
DR-1907,Disaster,30/04/2010,ND,Flood
DR-1908,Disaster,03/05/2010,AL,Storm
EM-3312,Emergency,03/05/2010,MA,Other
DR-1909,Disaster,04/05/2010,TN,Storm
DR-1910,Disaster,06/05/2010,MD,Snow
DR-1911,Disaster,07/05/2010,CA,Earthquake
DR-1912,Disaster,11/05/2010,KY,Storm
DR-1913,Disaster,12/05/2010,NH,Storm
DR-1915,Disaster,13/05/2010,SD,Flood
DR-1914,Disaster,13/05/2010,SD,Storm
DR-1916,Disaster,14/05/2010,MS,Storm
DR-1917,Disaster,24/05/2010,OK,Storm
FM-2842,Fire,24/05/2010,NM,Fire
FM-2843,Fire,02/06/2010,NM,Fire
FM-2844,Fire,09/06/2010,HI,Fire
FM-2845,Fire,19/06/2010,AZ,Fire
FM-2846,Fire,20/06/2010,AZ,Fire
DR-1919,Disaster,24/06/2010,PR,Storm
DR-1918,Disaster,24/06/2010,WV,Flood
EM-3313,Emergency,29/06/2010,TX,Hurricane
FM-2847,Fire,01/07/2010,NV,Fire
DR-1920,Disaster,01/07/2010,ME,Storm
DR-1921,Disaster,02/07/2010,MN,Tornado
DR-1922,Disaster,10/07/2010,MT,Storm
DR-1923,Disaster,14/07/2010,WY,Flood
DR-1924,Disaster,15/07/2010,NE,Storm
FM-2848,Fire,19/07/2010,WA,Fire
DR-1925,Disaster,23/07/2010,KY,Storm
DR-1926,Disaster,26/07/2010,OK,Storm
DR-1928,Disaster,27/07/2010,IA,Storm
DR-1927,Disaster,27/07/2010,ID,Storm
FM-2849,Fire,27/07/2010,CA,Fire
FM-2850,Fire,28/07/2010,CA,Fire
DR-1930,Disaster,29/07/2010,IA,Storm
DR-1929,Disaster,29/07/2010,SD,Storm
FM-2851,Fire,30/07/2010,CA,Fire
DR-1931,Disaster,03/08/2010,TX,Hurricane
DR-1932,Disaster,10/08/2010,KS,Storm
DR-1933,Disaster,11/08/2010,WI,Storm
DR-1934,Disaster,17/08/2010,MO,Storm
DR-1935,Disaster,19/08/2010,IL,Storm
FM-2852,Fire,24/08/2010,CA,Fire
FM-2853,Fire,26/08/2010,ID,Fire
FM-2854,Fire,27/08/2010,WA,Fire
EM-3314,Emergency,01/09/2010,NC,Hurricane
EM-3315,Emergency,02/09/2010,MA,Hurricane
FM-2855,Fire,06/09/2010,CO,Fire
FM-2856,Fire,10/09/2010,CA,Fire
FM-2857,Fire,12/09/2010,CO,Fire
DR-1936,Disaster,13/09/2010,NM,Flood
FM-2858,Fire,15/09/2010,CA,Fire
DR-1937,Disaster,15/09/2010,TN,Storm
FM-2859,Fire,19/09/2010,UT,Fire
DR-1938,Disaster,23/09/2010,SD,Storm
DR-1939,Disaster,28/09/2010,VI,Hurricane
DR-1940,Disaster,04/10/2010,AZ,Storm
DR-1941,Disaster,13/10/2010,MN,Storm
DR-1943,Disaster,14/10/2010,NY,Tornado
DR-1942,Disaster,14/10/2010,NC,Storm
DR-1945,Disaster,21/10/2010,NE,Storm
DR-1944,Disaster,21/10/2010,WI,Storm
DR-1946,Disaster,26/10/2010,PR,Storm
DR-1947,Disaster,02/11/2010,SD,Storm
DR-1948,Disaster,05/11/2010,VI,Storm
DR-1949,Disaster,24/11/2010,VI,Storm
DR-1950,Disaster,21/12/2010,AZ,Storm
DR-1951,Disaster,22/12/2010,VT,Storm
DR-1952,Disaster,26/01/2011,CA,Flood
DR-1953,Disaster,01/02/2011,ME,Storm
EM-3316,Emergency,02/02/2011,OK,Storm
EM-3317,Emergency,03/02/2011,MO,Storm
DR-1954,Disaster,04/02/2011,NJ,Snow
DR-1955,Disaster,11/02/2011,UT,Flood
DR-1956,Disaster,17/02/2011,OR,Storm
DR-1957,Disaster,18/02/2011,NY,Storm
FM-2860,Fire,20/02/2011,VA,Fire
FM-2861,Fire,20/02/2011,VA,Fire
FM-2864,Fire,27/02/2011,TX,Fire
FM-2863,Fire,27/02/2011,TX,Fire
FM-2862,Fire,27/02/2011,TX,Fire
FM-2865,Fire,28/02/2011,TX,Fire
DR-1958,Disaster,03/03/2011,CT,Snow
DR-1959,Disaster,07/03/2011,MA,Snow
FM-2866,Fire,08/03/2011,NM,Fire
FM-2869,Fire,11/03/2011,OK,Fire
FM-2868,Fire,11/03/2011,OK,Fire
FM-2867,Fire,11/03/2011,TX,Fire
FM-2872,Fire,12/03/2011,OK,Fire
FM-2871,Fire,12/03/2011,OK,Fire
FM-2870,Fire,12/03/2011,TX,Fire
DR-1960,Disaster,17/03/2011,IL,Snow
FM-2873,Fire,21/03/2011,CO,Fire
DR-1961,Disaster,23/03/2011,MO,Storm
DR-1962,Disaster,24/03/2011,NM,Storm
FM-2874,Fire,24/03/2011,OK,Fire
DR-1964,Disaster,25/03/2011,OR,Tsunami
DR-1963,Disaster,25/03/2011,WA,Storm
FM-2875,Fire,25/03/2011,GA,Fire
FM-2876,Fire,25/03/2011,GA,Fire
DR-1965,Disaster,31/03/2011,TN,Storm
FM-2881,Fire,03/04/2011,TX,Fire
FM-2880,Fire,03/04/2011,NM,Fire
FM-2879,Fire,03/04/2011,OK,Fire
FM-2878,Fire,03/04/2011,KS,Fire
FM-2877,Fire,03/04/2011,CO,Fire
DR-1966,Disaster,05/04/2011,WI,Snow
FM-2882,Fire,05/04/2011,TX,Fire
FM-2883,Fire,06/04/2011,OK,Fire
EM-3318,Emergency,07/04/2011,ND,Flood
DR-1967,Disaster,08/04/2011,HI,Tsunami
FM-2886,Fire,09/04/2011,TX,Fire
FM-2885,Fire,09/04/2011,TX,Fire
FM-2884,Fire,09/04/2011,TX,Fire
FM-2887,Fire,10/04/2011,OK,Fire
FM-2892,Fire,15/04/2011,TX,Fire
FM-2891,Fire,15/04/2011,TX,Fire
FM-2890,Fire,15/04/2011,OK,Fire
FM-2889,Fire,15/04/2011,TX,Fire
FM-2888,Fire,15/04/2011,TX,Fire
FM-2895,Fire,16/04/2011,TX,Fire
FM-2894,Fire,16/04/2011,TX,Fire
FM-2893,Fire,16/04/2011,TX,Fire
FM-2898,Fire,17/04/2011,TX,Fire
FM-2897,Fire,17/04/2011,NM,Fire
FM-2896,Fire,17/04/2011,TX,Fire
DR-1968,Disaster,18/04/2011,CA,Tsunami
DR-1969,Disaster,19/04/2011,NC,Storm
FM-2899,Fire,21/04/2011,TX,Fire
FM-2900,Fire,22/04/2011,NE,Fire
DR-1970,Disaster,22/04/2011,OK,Storm
FM-2902,Fire,27/04/2011,FL,Fire
EM-3319,Emergency,27/04/2011,AL,Storm
FM-2901,Fire,27/04/2011,TX,Fire
DR-1971,Disaster,28/04/2011,AL,Storm
DR-1973,Disaster,29/04/2011,GA,Storm
DR-1972,Disaster,29/04/2011,MS,Storm
FM-2903,Fire,29/04/2011,TX,Fire
FM-2905,Fire,30/04/2011,TX,Fire
FM-2904,Fire,30/04/2011,TX,Fire
DR-1974,Disaster,01/05/2011,TN,Storm
DR-1975,Disaster,02/05/2011,AR,Storm
EM-3320,Emergency,04/05/2011,MS,Flood
DR-1976,Disaster,04/05/2011,KY,Storm
EM-3321,Emergency,04/05/2011,TN,Flood
DR-1977,Disaster,05/05/2011,IA,Storm
EM-3322,Emergency,06/05/2011,LA,Flood
FM-2906,Fire,08/05/2011,TX,Fire
DR-1979,Disaster,09/05/2011,TN,Storm
DR-1980,Disaster,09/05/2011,MO,Storm
FM-2908,Fire,09/05/2011,TX,Fire
DR-1978,Disaster,09/05/2011,TN,Storm
FM-2907,Fire,09/05/2011,AZ,Fire
DR-1982,Disaster,10/05/2011,MN,Flood
DR-1981,Disaster,10/05/2011,ND,Flood
DR-1983,Disaster,11/05/2011,MS,Flood
DR-1985,Disaster,13/05/2011,OK,Storm
DR-1984,Disaster,13/05/2011,SD,Flood
DR-1987,Disaster,20/05/2011,ID,Flood
DR-1986,Disaster,20/05/2011,ND,Storm
FM-2909,Fire,22/05/2011,AK,Fire
FM-2910,Fire,24/05/2011,TX,Fire
DR-1988,Disaster,27/05/2011,OK,Storm
FM-2913,Fire,29/05/2011,TX,Fire
FM-2912,Fire,29/05/2011,TX,Fire
FM-2911,Fire,29/05/2011,TX,Fire
FM-2915,Fire,02/06/2011,AZ,Fire
FM-2914,Fire,02/06/2011,TX,Fire
FM-2916,Fire,03/06/2011,TX,Fire
DR-1989,Disaster,06/06/2011,OK,Storm
DR-1990,Disaster,07/06/2011,MN,Storm
DR-1991,Disaster,07/06/2011,IL,Storm
DR-1993,Disaster,10/06/2011,NY,Flood
DR-1992,Disaster,10/06/2011,AK,Flood
FM-2917,Fire,10/06/2011,NM,Fire
FM-2919,Fire,12/06/2011,AZ,Fire
FM-2918,Fire,12/06/2011,NM,Fire
DR-1995,Disaster,15/06/2011,VT,Storm
DR-1994,Disaster,15/06/2011,MA,Tornado
FM-2920,Fire,15/06/2011,GA,Fire
FM-2923,Fire,16/06/2011,CO,Fire
FM-2922,Fire,16/06/2011,TX,Fire
FM-2921,Fire,16/06/2011,GA,Fire
FM-2924,Fire,17/06/2011,TX,Fire
DR-1996,Disaster,17/06/2011,MT,Storm
FM-2926,Fire,18/06/2011,TX,Fire
FM-2925,Fire,18/06/2011,TX,Fire
EM-3323,Emergency,18/06/2011,NE,Flood
FM-2929,Fire,20/06/2011,TX,Fire
FM-2928,Fire,20/06/2011,TX,Fire
FM-2927,Fire,20/06/2011,TX,Fire
FM-2931,Fire,21/06/2011,TX,Fire
FM-2930,Fire,21/06/2011,TX,Fire
DR-1997,Disaster,23/06/2011,IN,Storm
FM-2932,Fire,24/06/2011,OK,Fire
EM-3324,Emergency,25/06/2011,KS,Flood
FM-2933,Fire,26/06/2011,NM,Fire
DR-1998,Disaster,27/06/2011,IA,Flood
FM-2934,Fire,29/06/2011,NM,Fire
FM-2935,Fire,30/06/2011,NM,Fire
EM-3325,Emergency,30/06/2011,MO,Flood
DR-1999,Disaster,01/07/2011,TX,Fire
FM-2936,Fire,04/07/2011,NC,Fire
DR-4001,Disaster,08/07/2011,VT,Storm
DR-4000,Disaster,08/07/2011,AR,Storm
FM-2937,Fire,11/07/2011,TX,Fire
DR-4003,Disaster,13/07/2011,PA,Storm
DR-4002,Disaster,13/07/2011,OH,Storm
DR-4004,Disaster,14/07/2011,PR,Storm
FM-2938,Fire,15/07/2011,OK,Fire
FM-2939,Fire,15/07/2011,OK,Fire
DR-4005,Disaster,20/07/2011,TN,Storm
DR-4007,Disaster,22/07/2011,WY,Storm
DR-4006,Disaster,22/07/2011,NH,Flood
DR-4008,Disaster,25/07/2011,KY,Storm
FM-2940,Fire,26/07/2011,OK,Fire
DR-4009,Disaster,28/07/2011,MN,Storm
DR-4010,Disaster,29/07/2011,KS,Storm
FM-2941,Fire,01/08/2011,OK,Fire
FM-2944,Fire,02/08/2011,OK,Fire
FM-2942,Fire,02/08/2011,OK,Fire
FM-2943,Fire,02/08/2011,OK,Fire
FM-2945,Fire,04/08/2011,OK,Fire
FM-2946,Fire,05/08/2011,OK,Fire
FM-2947,Fire,07/08/2011,OK,Fire
FM-2948,Fire,08/08/2011,OK,Fire
DR-4011,Disaster,08/08/2011,UT,Flood
DR-4012,Disaster,12/08/2011,MO,Flood
DR-4013,Disaster,12/08/2011,NE,Flood
DR-4014,Disaster,12/08/2011,NE,Storm
FM-2949,Fire,15/08/2011,TX,Fire
DR-4015,Disaster,18/08/2011,LA,Flood
EM-3326,Emergency,22/08/2011,PR,Hurricane
DR-4016,Disaster,24/08/2011,IA,Storm
EM-3327,Emergency,25/08/2011,NC,Hurricane
EM-3329,Emergency,26/08/2011,VA,Hurricane
EM-3330,Emergency,26/08/2011,MA,Hurricane
EM-3328,Emergency,26/08/2011,NY,Hurricane
DR-4017,Disaster,27/08/2011,PR,Hurricane
EM-3335,Emergency,27/08/2011,MD,Hurricane
EM-3334,Emergency,27/08/2011,RI,Hurricane
EM-3332,Emergency,27/08/2011,NJ,Hurricane
EM-3331,Emergency,27/08/2011,CT,Hurricane
EM-3336,Emergency,28/08/2011,DE,Hurricane
EM-3337,Emergency,28/08/2011,DC,Hurricane
FM-2950,Fire,29/08/2011,MT,Fire
EM-3339,Emergency,29/08/2011,PA,Hurricane
EM-3338,Emergency,29/08/2011,VT,Hurricane
FM-2952,Fire,30/08/2011,TX,Fire
FM-2951,Fire,30/08/2011,OK,Fire
DR-4018,Disaster,30/08/2011,IA,Storm
FM-2954,Fire,31/08/2011,OK,Fire
FM-2953,Fire,31/08/2011,OK,Fire
DR-4021,Disaster,31/08/2011,NJ,Hurricane
DR-4020,Disaster,31/08/2011,NY,Hurricane
DR-4019,Disaster,31/08/2011,NC,Hurricane
DR-4022,Disaster,01/09/2011,VT,Hurricane
FM-2955,Fire,02/09/2011,CA,Fire
DR-4023,Disaster,02/09/2011,CT,Hurricane
DR-4028,Disaster,03/09/2011,MA,Hurricane
DR-4027,Disaster,03/09/2011,RI,Hurricane
DR-4025,Disaster,03/09/2011,PA,Hurricane
DR-4024,Disaster,03/09/2011,VA,Hurricane
FM-2956,Fire,03/09/2011,OK,Fire
DR-4026,Disaster,03/09/2011,NH,Hurricane
FM-2958,Fire,04/09/2011,TX,Fire
FM-2957,Fire,04/09/2011,TX,Fire
FM-2961,Fire,05/09/2011,CA,Fire
FM-2960,Fire,05/09/2011,TX,Fire
FM-2959,Fire,05/09/2011,TX,Fire
FM-2965,Fire,06/09/2011,TX,Fire
FM-2964,Fire,06/09/2011,TX,Fire
FM-2963,Fire,06/09/2011,TX,Fire
FM-2962,Fire,06/09/2011,TX,Fire
EM-3340,Emergency,08/09/2011,PA,Flood
EM-3341,Emergency,08/09/2011,NY,Storm
FM-2967,Fire,08/09/2011,TX,Fire
FM-2966,Fire,08/09/2011,WA,Fire
DR-4029,Disaster,09/09/2011,TX,Fire
FM-2968,Fire,09/09/2011,TX,Fire
FM-2969,Fire,10/09/2011,NV,Fire
FM-2971,Fire,11/09/2011,CA,Fire
FM-2970,Fire,11/09/2011,CA,Fire
DR-4030,Disaster,12/09/2011,PA,Flood
DR-4032,Disaster,13/09/2011,ME,Hurricane
DR-4031,Disaster,13/09/2011,NY,Storm
DR-4033,Disaster,15/09/2011,NJ,Storm
DR-4034,Disaster,16/09/2011,MD,Hurricane
DR-4035,Disaster,23/09/2011,KS,Flood
DR-4036,Disaster,28/09/2011,DC,Hurricane
DR-4037,Disaster,30/09/2011,DE,Hurricane
FM-2972,Fire,03/10/2011,NV,Fire
DR-4038,Disaster,05/10/2011,MD,Flood
DR-4039,Disaster,14/10/2011,NJ,Storm
DR-4040,Disaster,18/10/2011,PR,Hurricane
DR-4041,Disaster,28/10/2011,LA,Storm
EM-3342,Emergency,31/10/2011,CT,Storm
EM-3344,Emergency,01/11/2011,NH,Storm
EM-3343,Emergency,01/11/2011,MA,Storm
DR-4042,Disaster,04/11/2011,VA,Earthquake
DR-4044,Disaster,08/11/2011,DC,Earthquake
DR-4043,Disaster,08/11/2011,VT,Storm
DR-4045,Disaster,17/11/2011,VA,Storm
DR-4046,Disaster,17/11/2011,CT,Storm
FM-2973,Fire,18/11/2011,NV,Fire
DR-4047,Disaster,23/11/2011,NM,Flood
DR-4048,Disaster,30/11/2011,NJ,Storm
DR-4049,Disaster,05/12/2011,NH,Storm
DR-4050,Disaster,22/12/2011,AK,Storm
DR-4051,Disaster,06/01/2012,MA,Storm
FM-2974,Fire,19/01/2012,NV,Fire
DR-4053,Disaster,01/02/2012,UT,Storm
DR-4052,Disaster,01/02/2012,AL,Storm
DR-4054,Disaster,02/02/2012,AK,Storm
DR-4055,Disaster,02/03/2012,OR,Flood
DR-4056,Disaster,05/03/2012,WA,Storm
DR-4057,Disaster,06/03/2012,KY,Storm
DR-4058,Disaster,09/03/2012,IN,Storm
DR-4059,Disaster,16/03/2012,WV,Storm
DR-4060,Disaster,16/03/2012,TN,Storm
DR-4061,Disaster,22/03/2012,WV,Storm
FM-2975,Fire,26/03/2012,CO,Fire
DR-4062,Disaster,18/04/2012,HI,Storm
FM-2976,Fire,30/04/2012,TX,Fire
FM-2977,Fire,22/05/2012,NV,Fire
DR-4063,Disaster,24/05/2012,KS,Storm
FM-2978,Fire,26/05/2012,NM,Fire
FM-2980,Fire,09/06/2012,CO,Fire
FM-2979,Fire,09/06/2012,NM,Fire
DR-4064,Disaster,14/06/2012,OK,Storm
DR-4065,Disaster,15/06/2012,NH,Storm
FM-2981,Fire,18/06/2012,NM,Fire
FM-2982,Fire,20/06/2012,NM,Fire
DR-4066,Disaster,22/06/2012,VT,Storm
FM-2983,Fire,22/06/2012,UT,Fire
FM-2986,Fire,24/06/2012,UT,Fire
FM-2985,Fire,24/06/2012,CO,Fire
FM-2984,Fire,24/06/2012,CO,Fire
FM-2988,Fire,26/06/2012,MT,Fire
FM-2987,Fire,26/06/2012,MT,Fire
FM-2990,Fire,27/06/2012,UT,Fire
FM-2989,Fire,27/06/2012,MT,Fire
DR-4067,Disaster,28/06/2012,CO,Fire
FM-2992,Fire,29/06/2012,WY,Fire
FM-2991,Fire,29/06/2012,UT,Fire
EM-3346,Emergency,30/06/2012,OH,Storm
EM-3345,Emergency,30/06/2012,WV,Storm
FM-2994,Fire,02/07/2012,UT,Fire
FM-2993,Fire,02/07/2012,WY,Fire
DR-4068,Disaster,03/07/2012,FL,Storm
FM-2995,Fire,03/07/2012,WY,Fire
DR-4069,Disaster,06/07/2012,MN,Storm
DR-4070,Disaster,19/07/2012,NJ,Storm
FM-2996,Fire,20/07/2012,SD,Fire
DR-4071,Disaster,23/07/2012,WV,Storm
DR-4072,Disaster,27/07/2012,VA,Storm
FM-2997,Fire,30/07/2012,OK,Fire
DR-4073,Disaster,31/07/2012,DC,Storm
DR-4076,Disaster,02/08/2012,WI,Storm
DR-4075,Disaster,02/08/2012,MD,Storm
DR-4074,Disaster,02/08/2012,MT,Fire
FM-2999,Fire,03/08/2012,OK,Fire
FM-2998,Fire,03/08/2012,OK,Fire
DR-4077,Disaster,20/08/2012,OH,Storm
DR-4078,Disaster,22/08/2012,OK,Fire
DR-4079,Disaster,24/08/2012,NM,Flood
EM-3347,Emergency,27/08/2012,LA,Hurricane
EM-3348,Emergency,28/08/2012,MS,Hurricane
DR-4080,Disaster,29/08/2012,LA,Hurricane
DR-4081,Disaster,29/08/2012,MS,Hurricane
DR-4082,Disaster,21/09/2012,AL,Hurricane
DR-4083,Disaster,25/09/2012,WA,Storm
DR-4084,Disaster,18/10/2012,FL,Hurricane
EM-3354,Emergency,28/10/2012,NJ,Hurricane
EM-3353,Emergency,28/10/2012,CT,Hurricane
EM-3352,Emergency,28/10/2012,DC,Hurricane
EM-3350,Emergency,28/10/2012,MA,Hurricane
EM-3351,Emergency,28/10/2012,NY,Hurricane
EM-3349,Emergency,28/10/2012,MD,Hurricane
EM-3358,Emergency,29/10/2012,WV,Hurricane
EM-3359,Emergency,29/10/2012,VA,Hurricane
EM-3357,Emergency,29/10/2012,DE,Hurricane
EM-3355,Emergency,29/10/2012,RI,Hurricane
EM-3356,Emergency,29/10/2012,PA,Hurricane
DR-4087,Disaster,30/10/2012,CT,Hurricane
DR-4085,Disaster,30/10/2012,NY,Hurricane
DR-4086,Disaster,30/10/2012,NJ,Hurricane
EM-3360,Emergency,30/10/2012,NH,Hurricane
DR-4089,Disaster,03/11/2012,RI,Hurricane
DR-4088,Disaster,03/11/2012,UT,Flood
DR-4090,Disaster,16/11/2012,DE,Hurricane
DR-4091,Disaster,20/11/2012,MD,Hurricane
DR-4092,Disaster,26/11/2012,VA,Hurricane
DR-4094,Disaster,27/11/2012,AK,Storm
DR-4093,Disaster,27/11/2012,WV,Hurricane
DR-4095,Disaster,28/11/2012,NH,Hurricane
DR-4096,Disaster,05/12/2012,DC,Hurricane
DR-4097,Disaster,19/12/2012,MA,Hurricane
DR-4098,Disaster,03/01/2013,OH,Hurricane
DR-4099,Disaster,10/01/2013,PA,Hurricane
DR-4100,Disaster,29/01/2013,AR,Ice
EM-3361,Emergency,10/02/2013,CT,Storm
DR-4101,Disaster,13/02/2013,MS,Storm
DR-4102,Disaster,22/02/2013,LA,Storm
DR-4103,Disaster,01/03/2013,NC,Mud/Landslide
DR-4104,Disaster,05/03/2013,AZ,Winter
DR-4105,Disaster,19/03/2013,NH,Storm
DR-4106,Disaster,21/03/2013,CT,Storm
DR-4107,Disaster,22/03/2013,RI,Storm
DR-4108,Disaster,25/03/2013,ME,Storm
DR-4109,Disaster,08/04/2013,OK,Storm
EM-3362,Emergency,17/04/2013,MA,Terrorism
EM-3363,Emergency,19/04/2013,TX,Other
DR-4110,Disaster,19/04/2013,MA,Storm
DR-4111,Disaster,23/04/2013,NY,Storm
EM-3364,Emergency,26/04/2013,ND,Flood
DR-4112,Disaster,26/04/2013,KS,Snow
DR-4113,Disaster,03/05/2013,MN,Storm
DR-4114,Disaster,06/05/2013,IA,Storm
DR-4116,Disaster,10/05/2013,IL,Flood
DR-4115,Disaster,10/05/2013,SD,Storm
DR-4117,Disaster,20/05/2013,OK,Tornado
DR-4118,Disaster,29/05/2013,ND,Flood
DR-4119,Disaster,31/05/2013,IA,Flood
DR-4120,Disaster,13/06/2013,VT,Flood
DR-4121,Disaster,18/06/2013,MI,Flood
DR-4124,Disaster,25/06/2013,AR,Storm
DR-4122,Disaster,25/06/2013,AK,Flood
DR-4123,Disaster,25/06/2013,ND,Flood
DR-4125,Disaster,28/06/2013,SD,Storm
DR-4126,Disaster,02/07/2013,IA,Storm
DR-4127,Disaster,10/07/2013,MT,Flood
DR-4129,Disaster,12/07/2013,NY,Flood
DR-4128,Disaster,12/07/2013,ND,Storm
DR-4130,Disaster,18/07/2013,MO,Storm
DR-4131,Disaster,25/07/2013,MN,Storm
DR-4134,Disaster,26/07/2013,CO,Fire
DR-4133,Disaster,26/07/2013,CO,Fire
DR-4132,Disaster,26/07/2013,WV,Flood
DR-4135,Disaster,31/07/2013,IA,Storm
DR-4139,Disaster,02/08/2013,NH,Storm
DR-4138,Disaster,02/08/2013,FL,Storm
DR-4140,Disaster,02/08/2013,VT,Flood
DR-4137,Disaster,02/08/2013,SD,Storm
DR-4136,Disaster,02/08/2013,TX,Other
DR-4141,Disaster,08/08/2013,WI,Storm
DR-4142,Disaster,29/08/2013,CA,Fire
DR-4143,Disaster,04/09/2013,AR,Storm
DR-4144,Disaster,06/09/2013,MO,Storm
EM-3365,Emergency,12/09/2013,CO,Flood
DR-4145,Disaster,14/09/2013,CO,Flood
DR-4146,Disaster,25/09/2013,NC,Flood
DR-4147,Disaster,27/09/2013,NM,Storm
DR-4148,Disaster,30/09/2013,NM,Storm
DR-4149,Disaster,01/10/2013,PA,Storm
DR-4150,Disaster,22/10/2013,KS,Storm
DR-4151,Disaster,24/10/2013,NM,Storm
DR-4153,Disaster,29/10/2013,NC,Flood
DR-4152,Disaster,29/10/2013,NM,Flood
DR-4154,Disaster,31/10/2013,ND,Storm
DR-4155,Disaster,08/11/2013,SD,Storm
DR-4157,Disaster,26/11/2013,IL,Tornado
DR-4156,Disaster,26/11/2013,NE,Storm
DR-4158,Disaster,13/12/2013,CA,Fire
DR-4159,Disaster,20/12/2013,TX,Storm
DR-4160,Disaster,06/01/2014,AR,Ice
EM-3366,Emergency,10/01/2014,WV,Chemical
DR-4161,Disaster,16/01/2014,AK,Flood
DR-4162,Disaster,23/01/2014,AK,Storm
DR-4163,Disaster,29/01/2014,VT,Ice
DR-4164,Disaster,30/01/2014,OK,Storm
EM-3367,Emergency,06/02/2014,PA,Ice
EM-3368,Emergency,11/02/2014,GA,Ice
EM-3369,Emergency,12/02/2014,SC,Ice
DR-4165,Disaster,06/03/2014,GA,Ice
DR-4166,Disaster,12/03/2014,SC,Ice
EM-3370,Emergency,24/03/2014,WA,Mud/Landslide
DR-4167,Disaster,31/03/2014,NC,Ice
DR-4168,Disaster,02/04/2014,WA,Mud/Landslide
DR-4169,Disaster,04/04/2014,OR,Storm
DR-4170,Disaster,10/04/2014,MD,Storm
DR-4171,Disaster,11/04/2014,TN,Ice
DR-4172,Disaster,17/04/2014,MT,Flood
DR-4173,Disaster,22/04/2014,IN,Storm
DR-4174,Disaster,29/04/2014,AR,Storm
DR-4175,Disaster,30/04/2014,MS,Storm
DR-4176,Disaster,02/05/2014,AL,Storm
DR-4177,Disaster,06/05/2014,FL,Storm
DR-4178,Disaster,11/06/2014,VT,Flood
DR-4179,Disaster,17/06/2014,NE,Tornado
DR-4180,Disaster,08/07/2014,NY,Storm
DR-4181,Disaster,14/07/2014,IA,Storm
DR-4182,Disaster,21/07/2014,MN,Flood
EM-3371,Emergency,23/07/2014,WA,Fire
DR-4183,Disaster,24/07/2014,NE,Storm
DR-4184,Disaster,24/07/2014,IA,Flood
DR-4186,Disaster,28/07/2014,SD,Flood
DR-4185,Disaster,28/07/2014,NE,Storm
DR-4187,Disaster,05/08/2014,IA,Storm
DR-4188,Disaster,11/08/2014,WA,Fire
DR-4189,Disaster,13/08/2014,TN,Storm
DR-4190,Disaster,19/08/2014,ND,Flood
DR-4191,Disaster,10/09/2014,GU,Storm
DR-4192,Disaster,10/09/2014,AS,Storm
DR-4193,Disaster,11/09/2014,CA,Earthquake
DR-4194,Disaster,12/09/2014,HI,Storm
DR-4195,Disaster,25/09/2014,MI,Flood
DR-4196,Disaster,30/09/2014,KY,Storm
DR-4197,Disaster,06/10/2014,NM,Storm
DR-4198,Disaster,09/10/2014,MT,Storm
DR-4199,Disaster,29/10/2014,NM,Storm
DR-4200,Disaster,31/10/2014,MO,Storm
DR-4201,Disaster,03/11/2014,HI,Volcano
DR-4203,Disaster,05/11/2014,AZ,Flood
DR-4202,Disaster,05/11/2014,NV,Flood
DR-4204,Disaster,22/12/2014,NY,Snow
DR-4205,Disaster,07/01/2015,MS,Tornado
DR-4206,Disaster,27/01/2015,CA,Flood
DR-4207,Disaster,03/02/2015,VT,Storm
DR-4208,Disaster,12/03/2015,ME,Snow
DR-4209,Disaster,25/03/2015,NH,Storm
DR-4210,Disaster,31/03/2015,WV,Storm
DR-4211,Disaster,02/04/2015,TN,Ice
DR-4212,Disaster,03/04/2015,RI,Storm
DR-4213,Disaster,08/04/2015,CT,Storm
DR-4214,Disaster,13/04/2015,MA,Storm
DR-4215,Disaster,20/04/2015,GA,Ice
DR-4216,Disaster,30/04/2015,KY,Snow
DR-4217,Disaster,01/05/2015,KY,Flood
DR-4218,Disaster,12/05/2015,KY,Flood
DR-4219,Disaster,14/05/2015,WV,Storm
DR-4220,Disaster,18/05/2015,WV,Flood
DR-4221,Disaster,21/05/2015,WV,Flood
